,REG_SEASON_BENCH_PROP,SERIES_BENCH_PROP,REG_SEASON_PLAYOFF_PROP_CHANGE,TEAM_OPP_BENCH_PTS_DIFF,TEAM_OPP_BENCH_PROP_CHG,WL
6,-1.991467202387723,0.23826714801444043,9.358127500930292,-36,-0.19443011861784423,0
7,-1.991467202387723,0.20638297872340425,10.649377166208556,-65,-0.44837142106645655,1
8,-0.7047757811161253,0.2521246458923513,3.7953466374605864,-109,-0.4791970698486279,0
9,-0.7264314515729522,0.2703296703296703,3.6872057761438475,28,0.3573395026026604,0
10,-0.7264314515729522,0.15113350125944586,5.806554771241034,-66,-0.5645915797049298,1
11,1.801608671144553,0.4841075794621027,-2.7215047802935457,109,0.9201120848328342,1
12,1.801608671144553,0.29577464788732394,-5.0911531262506315,36,0.24135723431498077,1
13,1.801608671144553,0.35361216730038025,-4.0948718334517995,37,0.20085742720800265,1
14,1.801608671144553,0.36964285714285716,-3.873917177975602,82,0.5643285714285714,1
15,-0.8004291597613081,0.25375939849624063,4.154283799948265,-51,-0.28920082464225066,0
16,-0.46211324055804676,0.29446640316205536,2.569324159210548,-37,-0.16726167707934889,0
17,-0.46211324055804676,0.24853228962818003,2.859369023032771,-45,-0.29630683111090894,1
18,-0.46211324055804676,0.34620689655172415,2.3347892406557125,53,0.21871821664925126,1
19,0.3351065389942598,0.23540856031128404,-0.4235104218433846,-4,0.04709727626459147,0
20,0.3351065389942598,0.3570057581573896,0.06134136120425072,51,0.4068671358498611,1
21,0.609908169683512,0.3531827515400411,-0.7268911548597113,45,0.42107390580284254,0
22,-1.1735134512742083,0.34710743801652894,4.380836371528076,66,1.296694214876033,0
23,-1.1208064587530568,0.23629489603024575,5.743252933442936,-82,-0.3607481073577893,0
24,-0.01305211438040063,0.2126865671641791,1.0613678360341643,-31,-0.15072053525476073,0
25,1.6587552606890739,0.3741339491916859,-3.4335865918417836,65,0.8128139806195092,0
26,0.5328114437900144,0.35033259423503327,-0.5208731718309906,38,0.42468588322246864,0
27,-0.7786811279774635,0.28407460545193686,3.741114879799455,-53,-0.17946578106512265,0
28,-0.7786811279774635,0.294017094017094,3.6484212782954426,-9,-0.08058742975870044,1
29,1.446452234204714,0.3381995133819951,-3.276919915526169,-7,-0.15450121654501228,1
30,1.446452234204714,0.37006578947368424,-2.90863537065096,31,0.21129781606077047,0
31,1.446452234204714,0.44987775061124696,-2.2152117597267824,72,0.38578414250785903,1
32,-0.42657207258682145,0.2766798418972332,2.5417533480637973,-19,-0.1020956074278469,0
33,-1.6065708714942908,0.1958762886597938,9.201967080786643,46,0.452186277995023,1
34,-1.6065708714942908,0.21554770318021202,8.453435354637447,-25,-0.22725415254440995,1
35,-1.6065708714942908,0.1797520661157025,9.93770461842801,-27,-0.3472161809482383,1
36,-1.6065708714942908,0.15098039215686274,11.640923954053095,-43,-0.3834967320261438,1
37,-0.4857676325442967,0.3308270676691729,2.4683430710998064,10,0.011463083939356545,1
38,-0.4857676325442967,0.30538922155688625,2.5906508751940693,87,1.1007076755579752,1
39,-0.4857676325442967,0.24489795918367346,2.983551166222545,43,0.6220514179697854,0
40,-0.4857676325442967,0.30551181102362207,2.590012611678497,-31,-0.17443919510061243,1
41,-2.23668334971668,0.19732937685459942,12.334771260970241,-150,-0.5279435048389971,1
42,-2.23668334971668,0.14537444933920704,16.385670314717768,-87,-0.5239699403990672,0
43,-0.30902597305822127,0.27893738140417457,2.1078686245012426,25,0.2940865399570721,0
44,-0.30902597305822127,0.24101479915433405,2.282186712776655,15,0.020052533794605747,1
45,-1.4986275381053777,0.19385796545105566,8.730544033197049,-19,-0.20356685860524631,1
46,-1.4986275381053777,0.13488372093023257,12.110514506643316,-46,-0.31138310893512844,0
47,-1.4986275381053777,0.1858974358974359,9.061582618773755,-98,-0.4805295950155763,1
48,-0.1076233305121714,0.246875,1.4359426046062638,-64,-0.29384853603603606,0
49,-1.3778895256112904,0.34960629921259845,4.941260580014276,64,0.41612678162065186,1
50,-1.3778895256112904,0.4,4.444723814028226,7,0.18273381294964045,0
51,-0.3952513765283578,0.2434077079107505,2.6238244052373365,19,0.2555981764505051,0
52,1.3888822494564341,0.41802067946824223,-2.322520434212035,150,1.1183905109894379,0
53,-1.387774889899603,0.23627684964200477,6.873511907756905,-15,-0.01965833438010307,0
54,1.9146311287061337,0.32707774798927614,-4.85374927055236,-10,-0.011333170850597082,0
55,-0.5501806339321895,0.2753623188405797,2.9980244074379514,27,0.5319007163085123,0
